This list contains a sample (every seventh entry) of the the top 60,000 lemmas from the 
Corpus of Contemporary American English (COCA) (http://corpus.byu.edu/coca/).
You can also donwload an Excel verion: http://www.wordfrequency.info/files/wordlist_60k.xls

Note that this is the *only* frequency list of English that is corrected for a list this large.
All other frequency lists (if they are corrected at all, to remove bad entries) only correct the top 5,000 or 10,000 words.

It is also possible to purchase lists with the 200-300 most frequent collocates for each of the 
60,000 words in the frequency list.


For more information:

http://www.wordfrequency.info: Word frequency lists
http://corpus.byu.edu/coca/: Corpus of Contemporary American English (COCA)
http://davies-linguistics.byu.edu/ : Mark Davies

-------------------------------------------------------------------

Note that there are many lower-frequency words (e.g. #35,000-40,000 and lower) that are probably really NOUN,
but which are tagged as ADJ because they have an ADJ "function" (e.g. a *weight-training* regimen, a *sibilant* consonant). 


freq = frequency in the corpus
dispersion = Juilland's <d> dispersion measure (0-1): how "evenly" the lemma is distributed across the corpus
rank = a function of score (not shown here), but which is calculated as: freq * disp
pos = part of speech (see http://ucrel.lancs.ac.uk/claws7tags.html)


rank	lemma	PoS	freq	dispersion
12530	tubing	n	1069	0.90
12537	potassium	n	1097	0.87
12544	untreated	j	1046	0.91
12551	lifeless	j	1066	0.89
12558	neutrality	n	1077	0.88
12565	glitter	v	1127	0.84
12572	incidental	j	1112	0.86
12579	aerobics	n	1062	0.89
12586	kickoff	n	1114	0.85
12593	intermittent	j	1028	0.92
12600	illiterate	j	1008	0.94
12607	buff	n	1030	0.92
12614	horribly	r	1019	0.93
12621	sentencing	j	1055	0.90
12628	freestyle	n	1169	0.81
12635	pending	i	1014	0.93
12642	airway	n	1216	0.77
12649	snarl	v	1101	0.86
12656	hunch	n	1004	0.94
12663	yearning	n	992	0.95
12670	blink	n	1047	0.90
12677	oblivion	n	1002	0.93
12684	evict	v	1000	0.94
12691	concealed	j	1033	0.90
12698	demo	n	1026	0.91
12705	swinging	j	1022	0.91
12712	sentencing	n	1028	0.91
12719	mounted	j	1010	0.92
12726	taco	n	1043	0.89
12733	diffuse	v	1038	0.89
12740	sunflower	n	1033	0.90
12747	meditate	v	1001	0.93
12754	blitz	n	1025	0.90
12761	limp	n	1056	0.88
12768	elite	j	997	0.93
12775	excitedly	r	1049	0.88
12782	marinade	n	1077	0.86
12789	dazzle	v	985	0.94
12796	jargon	n	988	0.93
12803	trance	n	1030	0.89
12810	objectively	r	1020	0.90
12817	pedagogy	n	1152	0.80
12824	healthful	j	1055	0.87
12831	carnival	n	1040	0.88
12838	hunk	n	987	0.93
12845	cartilage	n	1053	0.87
12852	connector	n	1036	0.88
12859	punt	n	1118	0.82
12866	bombardment	n	1015	0.90
12873	duel	n	976	0.93
12880	steroid	n	1065	0.85
12887	high-powered	j	976	0.93
12894	captor	n	1016	0.89
12901	propeller	n	1059	0.85
12908	buck	v	973	0.93
12915	silicone	n	1125	0.80
12922	in-law	n	967	0.93
12929	better	n	969	0.93
12936	westward	r	974	0.92
12943	ta	u	1030	0.87
12950	adversely	r	1011	0.89
12957	puberty	n	982	0.91
12964	tumultuous	j	945	0.95
12971	bumpy	j	958	0.93
12978	steamy	j	967	0.92
12985	enlightenment	n	998	0.90
12992	fright	n	995	0.90
12999	stagger	n	1038	0.86
13006	logger	n	1018	0.87
13013	peg	n	979	0.91
13020	pawn	n	955	0.93
13027	naughty	j	961	0.92
13034	replay	n	970	0.91
13041	utensil	n	950	0.93
13048	immaculate	j	952	0.93
13055	rumor	v	933	0.95
13062	insightful	j	961	0.92
13069	checkup	n	963	0.92
13076	apprenticeship	n	973	0.91
13083	registry	n	1076	0.82
13090	drape	n	994	0.88
13097	accomplice	n	927	0.95
13104	colossal	j	925	0.95
13111	vaginal	j	1005	0.87
13118	airfield	n	963	0.91
13125	assailant	n	930	0.94
13132	disregard	n	927	0.94
13139	piercing	j	964	0.90
13146	sneeze	v	964	0.90
13153	arsenic	n	1083	0.80
13160	primacy	n	1018	0.85
13167	baby-sit	v	936	0.93
13174	permissible	j	961	0.90
13181	fondly	r	925	0.94
13188	twisting	j	949	0.91
13195	epoch	n	1001	0.86
13202	cork	n	941	0.92
13209	wondrous	j	924	0.93
13216	chap	n	948	0.91
13223	egregious	j	914	0.94
13230	ambush	v	925	0.93
13237	baptize	v	916	0.94
13244	cherished	j	912	0.94
13251	paraphrase	v	919	0.93
13258	localized	j	979	0.88
13265	immortality	n	931	0.92
13272	dish	v	921	0.93
13279	spook	v	940	0.91
13286	juvenile	n	946	0.90
13293	cornmeal	n	989	0.86
13300	midlife	j	953	0.90
13307	driving	n	921	0.93
13314	wasteful	j	906	0.94
13321	borderline	n	992	0.86
13328	postsecondary	j	1093	0.78
13335	listed	j	980	0.87
13342	cartoonist	n	961	0.88
13349	droplet	n	928	0.91
13356	poorly	j	898	0.94
13363	precedence	n	927	0.91
13370	bag	v	908	0.93
13377	inertia	n	917	0.92
13384	reindeer	n	953	0.89
13391	agitated	j	922	0.92
13398	Amish	j	984	0.86
13405	contraceptive	n	943	0.89
13412	bigotry	n	918	0.92
13419	auspice	n	929	0.90
13426	inexplicable	j	893	0.94
13433	oppress	v	894	0.94
13440	cobalt	n	957	0.87
13447	reparation	n	988	0.85
13454	transistor	n	975	0.86
13461	miscarriage	n	897	0.93
13468	sling	n	913	0.91
13475	scapegoat	n	890	0.93
13482	mindless	j	885	0.94
13489	shellfish	n	925	0.90
13496	trustworthy	j	875	0.95
13503	immunization	n	949	0.87
13510	recoil	v	930	0.89
13517	fondness	n	880	0.94
13524	khaki	j	925	0.89
13531	embedded	j	933	0.88
13538	standout	n	938	0.88
13545	prowl	v	900	0.91
13552	discernible	j	881	0.93
13559	nonpartisan	j	916	0.90
13566	extracurricular	j	911	0.90
13573	year-long	j	888	0.92
13580	uproar	n	867	0.94
13587	manslaughter	n	947	0.86
13594	wrinkle	v	955	0.86
13601	covering	n	876	0.93
13608	personalized	j	895	0.91
13615	fluency	n	1072	0.76
13622	jostle	v	898	0.91
13629	eyelash	n	924	0.88
13636	hole	v	870	0.93
13643	computational	j	982	0.83
13650	land-use	n	948	0.86
13657	stir	n	860	0.94
13664	mismanagement	n	878	0.92
13671	increment	n	885	0.91
13678	behemoth	n	879	0.92
13685	in	j	873	0.93
13692	nascent	j	876	0.92
13699	fanfare	n	853	0.94
13706	psychotic	j	872	0.92
13713	deafening	j	890	0.90
13720	asking	n	851	0.94
13727	beep	v	912	0.88
13734	bribery	n	880	0.91
13741	pamper	v	880	0.91
13748	sonic	j	875	0.91
13755	nocturnal	j	867	0.92
13762	yell	n	897	0.89
13769	stout	j	892	0.90
13776	dripping	j	885	0.90
13783	cashmere	n	913	0.87
13790	dislodge	v	852	0.93
13797	darkly	r	888	0.90
13804	overture	n	840	0.95
13811	spade	n	873	0.91
13818	toss	n	866	0.92
13825	musically	r	856	0.93
13832	fore	n	849	0.93
13839	juniper	n	889	0.89
13846	repressed	j	873	0.91
13853	faith-based	j	926	0.85
13860	inconvenient	j	847	0.93
13867	age-old	j	833	0.95
13874	spatula	n	919	0.86
13881	hotline	n	860	0.92
13888	valet	n	888	0.89
13895	pretext	n	846	0.93
13902	bustle	v	863	0.91
13909	mantel	n	898	0.87
13916	residuals	n	1192	0.66
13923	communicator	n	898	0.87
13930	veranda	n	887	0.88
13937	mouth	v	889	0.88
13944	Romanian	j	899	0.87
13951	much-needed	j	844	0.92
13958	distrust	v	823	0.95
13965	shootout	n	847	0.92
13972	endeavor	v	861	0.90
13979	ready	r	831	0.93
13986	mellow	j	845	0.92
13993	starch	n	851	0.91
14000	informational	j	896	0.86
14007	oceanic	j	859	0.90
14014	plethora	n	834	0.93
14021	porous	j	834	0.92
14028	attractiveness	n	908	0.85
14035	pre-existing	j	862	0.89
14042	distressed	j	811	0.95
14049	glorify	v	821	0.93
14056	sinful	j	831	0.92
14063	lite	j	866	0.88
14070	thirty-six	m	832	0.92
14077	padding	n	844	0.91
14084	stud	v	824	0.93
14091	deflate	v	811	0.94
14098	gleam	n	884	0.86
14105	brownie	n	846	0.90
14112	homemaker	n	832	0.91
14119	benefactor	n	806	0.94
14126	interchange	n	830	0.91
14133	allegory	n	902	0.84
14140	propriety	n	818	0.93
14147	pragmatism	n	872	0.87
14154	artistry	n	805	0.94
14161	piping	n	858	0.88
14168	strait	n	832	0.91
14175	convincingly	r	819	0.92
14182	retrace	v	804	0.94
14189	divulge	v	792	0.95
14196	aristocracy	n	837	0.90
14203	wriggle	v	875	0.86
14210	cramp	v	823	0.91
14217	font	n	918	0.82
14224	apathy	n	802	0.94
14231	vet	v	819	0.92
14238	bran	n	900	0.83
14245	penal	j	883	0.85
14252	reservist	n	908	0.82
14259	tweed	n	895	0.83
14266	filament	n	843	0.88
14273	mascara	n	861	0.87
14280	awash	j	794	0.94
14287	gloved	j	881	0.84
14294	safari	n	820	0.91
14301	decision-maker	n	851	0.87
14308	transfix	v	830	0.89
14315	abstain	v	800	0.93
14322	nudity	n	837	0.88
14329	reactionary	j	819	0.90
14336	tactile	j	881	0.84
14343	wanting	j	785	0.94
14350	abused	j	788	0.93
14357	mockery	n	780	0.94
14364	eloquently	r	781	0.94
14371	well	v	841	0.87
14378	rake	n	837	0.88
14385	out	j	777	0.94
14392	erect	j	814	0.90
14399	jumble	n	800	0.91
14406	high-energy	j	810	0.90
14413	fabled	j	784	0.93
14420	one-fifth	m	790	0.92
14427	maverick	n	803	0.91
14434	unparalleled	j	774	0.94
14441	fume	v	799	0.91
14448	inept	j	767	0.95
14455	nap	v	799	0.91
14462	witchcraft	n	892	0.81
14469	indefinite	j	788	0.92
14476	visualization	n	852	0.85
14483	deplore	v	779	0.93
14490	orthopedic	j	778	0.93
14497	whimper	v	863	0.83
14504	CPU	n	895	0.80
14511	zip	n	792	0.91
14518	self-sufficiency	n	801	0.90
14525	codify	v	827	0.87
14532	morph	v	800	0.90
14539	bastion	n	767	0.93
14546	glacial	j	788	0.91
14553	disobedience	n	774	0.92
14560	itch	n	783	0.91
14567	meek	j	766	0.93
14574	tan	v	789	0.90
14581	warp	n	799	0.89
14588	ram	n	800	0.89
14595	dissuade	v	742	0.96
14602	omen	n	766	0.93
14609	crippling	j	750	0.94
14616	ecologically	r	798	0.89
14623	gastrointestinal	j	811	0.87
14630	elm	n	831	0.85
14637	personify	v	770	0.92
14644	swap	n	858	0.82
14651	beaded	j	795	0.89
14658	index	v	773	0.91
14665	snapper	n	831	0.85
14672	chives	n	820	0.86
14679	widowed	j	780	0.90
14686	conjunction	n	807	0.87
14693	sustenance	n	755	0.93
14700	labeled	j	756	0.93
14707	multi-ethnic	j	795	0.88
14714	manned	j	769	0.91
14721	caviar	n	792	0.88
14728	unqualified	j	760	0.92
14735	overwhelmed	j	736	0.95
14742	retro	j	772	0.90
14749	canonical	j	844	0.82
14756	symptomatic	j	803	0.86
14763	anemia	n	806	0.86
14770	seven-year-old	j	750	0.92
14777	lightweight	n	778	0.89
14784	mop	n	785	0.88
14791	terminally	r	768	0.90
14798	irritable	j	757	0.91
14805	phosphorus	n	816	0.85
14812	conspicuously	r	738	0.93
14819	intersperse	v	740	0.93
14826	pallet	n	775	0.89
14833	gratefully	r	760	0.90
14840	playfully	r	762	0.90
14847	admonition	n	781	0.88
14854	inroads	n	735	0.93
14861	monograph	n	806	0.85
14868	overload	n	756	0.91
14875	simplified	j	758	0.90
14882	three-month	j	746	0.92
14889	plenty	n	719	0.95
14896	contrary	j	740	0.92
14903	burrow	n	813	0.84
14910	widening	j	726	0.94
14917	shaggy	j	770	0.89
14924	antiquated	j	721	0.94
14931	chastise	v	712	0.95
14938	stockpile	v	726	0.94
14945	quarrel	v	737	0.92
14952	seniority	n	733	0.92
14959	wheeze	v	774	0.87
14966	three-way	j	732	0.92
14973	integrative	j	807	0.84
14980	polluter	n	761	0.89
14987	balm	n	778	0.87
14994	flattering	j	718	0.94
15001	flit	v	765	0.88
15008	flooring	n	802	0.84
15015	brawl	n	726	0.93
15022	dung	n	743	0.90
15029	three-point	j	784	0.86
15036	oar	n	763	0.88
15043	centrally	r	763	0.88
15050	virulent	j	715	0.94
15057	switching	j	716	0.93
15064	readership	n	726	0.92
15071	penthouse	n	742	0.90
15078	punishing	j	706	0.94
15085	swat	v	749	0.89
15092	sear	v	727	0.92
15099	nomad	n	742	0.89
15106	revitalization	n	748	0.89
15113	bog	v	704	0.94
15120	optic	n	726	0.91
15127	caseload	n	772	0.86
15134	resourceful	j	698	0.95
15141	format	v	737	0.90
15148	chi-square	n	853	0.77
15155	barbarian	n	755	0.87
15162	karate	n	707	0.93
15169	eyesight	n	704	0.93
15176	laid-back	j	741	0.89
15183	noose	n	742	0.89
15190	newsstand	n	715	0.92
15197	sap	n	721	0.91
15204	insertion	n	764	0.86
15211	ranked	j	741	0.88
15218	rowdy	j	703	0.93
15225	vocalist	n	724	0.90
15232	deformed	j	706	0.92
15239	outside	n	679	0.96
15246	awry	r	687	0.95
15253	sandwich	v	700	0.93
15260	belie	v	694	0.94
15267	coexistence	n	739	0.88
15274	dam	v	706	0.92
15281	hoard	v	704	0.92
15288	affluence	n	726	0.89
15295	evergreen	n	731	0.89
15302	minnow	n	785	0.82
15309	anyplace	r	696	0.93
15316	methodical	j	689	0.94
15323	tycoon	n	700	0.92
15330	agility	n	696	0.93
15337	botanist	n	724	0.89
15344	rigidity	n	721	0.89
15351	throb	v	763	0.84
15358	smash	n	697	0.92
15365	adaptable	j	699	0.92
15372	consequent	j	765	0.84
15379	caseworker	n	726	0.88
15386	deft	j	687	0.93
15393	worst-case	j	686	0.93
15400	multicolored	j	690	0.92
15407	reprimand	v	672	0.95
15414	dunk	n	705	0.90
15421	marketable	j	687	0.92
15428	contemplative	j	702	0.90
15435	single-handedly	r	675	0.94
15442	jab	n	690	0.92
15449	industrialist	n	725	0.87
15456	toll-free	j	707	0.89
15463	roundup	n	699	0.90
15470	leaky	j	679	0.93
15477	macroeconomic	j	794	0.80
15484	subtest	n	885	0.71
15491	severance	n	703	0.90
15498	stallion	n	729	0.86
15505	aspen	n	820	0.77
15512	daughter-in-law	n	679	0.93
15519	exhausting	j	666	0.94
15526	ebb	n	670	0.93
15533	bayonet	n	690	0.91
15540	respectability	n	694	0.90
15547	unremarkable	j	672	0.93
15554	wallow	v	672	0.93
15561	reflected	j	679	0.92
15568	interchangeable	j	680	0.92
15575	potted	j	681	0.91
15582	exasperation	n	699	0.89
15589	gaudy	j	677	0.92
15596	hemp	n	791	0.78
15603	secrete	v	682	0.91
15610	enriched	j	687	0.90
15617	flunk	v	666	0.93
15624	maniac	n	693	0.89
15631	wrest	v	658	0.94
15638	self-serving	j	677	0.91
15645	whittle	v	666	0.93
15652	lovemaking	n	707	0.87
15659	recitation	n	667	0.92
15666	practiced	j	676	0.91
15673	runaway	n	663	0.93
15680	sci-fi	n	687	0.89
15687	crippled	j	664	0.92
15694	piston	n	708	0.87
15701	cleat	n	718	0.85
15708	aggressiveness	n	666	0.92
15715	unzip	v	716	0.85
15722	scotch	n	718	0.85
15729	effortless	j	663	0.92
15736	clique	n	668	0.91
15743	serial	n	693	0.88
15750	lukewarm	j	651	0.94
15757	wiper	n	674	0.90
15764	underclass	n	697	0.87
15771	prey	v	644	0.94
15778	heinous	j	649	0.93
15785	poacher	n	694	0.87
15792	tome	n	650	0.93
15799	entomologist	n	721	0.84
15806	sterling	n	668	0.90
15813	twine	n	678	0.89
15820	potion	n	672	0.90
15827	lucid	j	669	0.90
15834	consumerism	n	673	0.90
15841	enticing	j	649	0.93
15848	tortured	j	643	0.94
15855	enliven	v	649	0.93
15862	arch	j	663	0.91
15869	scum	n	664	0.90
15876	disillusion	v	636	0.94
15883	acupuncture	n	715	0.84
15890	whomever	p	635	0.94
15897	slimy	j	669	0.89
15904	starship	n	739	0.81
15911	intolerant	j	648	0.92
15918	neoclassical	j	706	0.85
15925	deformity	n	695	0.86
15932	suction	n	660	0.90
15939	gurney	n	682	0.87
15946	pursuant	i	700	0.85
15953	clergyman	n	653	0.91
15960	grounding	n	655	0.91
15967	forwards	r	655	0.91
15974	envious	j	635	0.93
15981	drunk	n	657	0.90
15988	pomegranate	n	695	0.85
15995	swish	v	697	0.85
16002	resounding	j	624	0.95
16009	upstart	n	647	0.91
16016	detectable	j	652	0.90
16023	vigilante	n	644	0.91
16030	precocious	j	635	0.93
16037	sleazy	j	635	0.93
16044	bottleneck	n	641	0.92
16051	cowardly	j	628	0.94
16058	retiring	j	643	0.91
16065	garland	n	655	0.90
16072	no-nonsense	j	632	0.93
16079	four-year-old	j	631	0.93
16086	unsettling	j	617	0.95
16093	toenail	n	654	0.89
16100	in-service	j	753	0.78
16107	celebratory	j	621	0.94
16114	rugby	n	681	0.86
16121	compatriot	n	645	0.90
16128	array	v	625	0.93
16135	proffer	v	630	0.92
16142	commons	n	682	0.85
16149	re-emerge	v	616	0.94
16156	empowering	j	651	0.89
16163	terrier	n	634	0.91
16170	aviator	n	636	0.91
16177	daily	n	672	0.86
16184	solicitation	n	627	0.92
16191	drone	v	655	0.88
16198	epidemiologist	n	635	0.91
16205	conspirator	n	639	0.90
16212	thirty-eight	m	627	0.92
16219	quandary	n	612	0.94
16226	acoustic	n	648	0.89
16233	hoot	n	647	0.89
16240	twitch	n	652	0.88
16247	sickle	n	637	0.90
16254	slut	n	648	0.89
16261	tendril	n	669	0.86
16268	concierge	n	660	0.87
16275	re-entry	n	632	0.91
16282	encryption	n	673	0.85
16289	organic	n	748	0.76
16296	speckled	j	637	0.90
16303	flush	r	619	0.92
16310	congenital	j	672	0.85
16317	jiggle	v	655	0.87
16324	hairline	n	630	0.90
16331	attitudinal	j	715	0.79
16338	amenable	j	628	0.90
16345	computer-generated	j	618	0.92
16352	widower	n	615	0.92
16359	cheesy	j	622	0.91
16366	he/she	p	679	0.83
16373	darling	j	645	0.88
16380	private-sector	j	629	0.90
16387	chairwoman	n	662	0.85
16394	mournful	j	637	0.89
16401	ire	n	609	0.93
16408	saber	n	617	0.91
16415	sabbatical	n	625	0.90
16422	revulsion	n	612	0.92
16429	issuing	j	602	0.93
16436	swirling	j	624	0.90
16443	structurally	r	633	0.89
16450	pretzel	n	616	0.91
16457	arbitrarily	r	617	0.91
16464	annihilation	n	605	0.92
16471	poise	n	598	0.93
16478	drool	v	624	0.89
16485	falcon	n	647	0.86
16492	giving	n	596	0.93
16499	dill	n	634	0.88
16506	jumpsuit	n	621	0.90
16513	eave	n	632	0.88
16520	masquerade	n	715	0.78
16527	shambles	n	597	0.93
16534	alleyway	n	634	0.87
16541	silt	n	608	0.91
16548	tumble	n	608	0.91
16555	bile	n	630	0.88
16562	relapse	n	635	0.87
16569	Panamanian	j	719	0.77
16576	biz	n	598	0.92
16583	baboon	n	654	0.84
16590	nave	n	634	0.87
16597	char	v	599	0.92
16604	psychoanalytic	j	757	0.73
16611	concise	j	599	0.92
16618	eccentricity	n	600	0.91
16625	deceptively	r	583	0.94
16632	plunder	v	582	0.94
16639	indigent	j	606	0.90
16646	masquerade	v	581	0.94
16653	plod	v	608	0.90
16660	downpour	n	600	0.91
16667	two-year-old	j	592	0.92
16674	misplaced	j	577	0.94
16681	smartly	r	595	0.91
16688	lexicon	n	598	0.91
16695	disillusionment	n	590	0.92
16702	feathered	j	592	0.92
16709	lumber	v	621	0.87
16716	second-class	j	584	0.93
16723	counterinsurgency	n	630	0.86
16730	hitherto	r	615	0.88
16737	jogger	n	601	0.90
16744	tanned	j	627	0.86
16751	layman	n	582	0.93
16758	matter-of-factly	r	592	0.91
16765	assent	n	597	0.90
16772	tax-exempt	j	620	0.87
16779	unanticipated	j	599	0.90
16786	censor	n	609	0.88
16793	breakfast	v	587	0.91
16800	mythological	j	602	0.89
16807	multiracial	j	602	0.89
16814	expiration	n	587	0.91
16821	unintentionally	r	569	0.94
16828	midpoint	n	604	0.88
16835	slaughterhouse	n	622	0.86
16842	banjo	n	600	0.89
16849	eucalyptus	n	593	0.90
16856	astrophysicist	n	609	0.87
16863	winter	v	588	0.91
16870	touchy	j	569	0.93
16877	heretofore	r	576	0.92
16884	graphically	r	590	0.90
16891	harbinger	n	565	0.94
16898	unmistakably	r	572	0.93
16905	starkly	r	561	0.94
16912	banal	j	567	0.93
16919	uneasiness	n	574	0.92
16926	motherfucker	n	671	0.79
16933	even	v	568	0.93
16940	cheeseburger	n	571	0.92
16947	dissimilar	j	591	0.89
16954	accession	n	639	0.82
16961	airspace	n	582	0.90
16968	squeak	n	615	0.85
16975	interfaith	j	602	0.87
16982	long-running	j	578	0.91
16989	woolly	j	574	0.91
16996	elucidate	v	625	0.84
17003	all-night	j	558	0.94
17010	upsetting	j	552	0.95
17017	schoolyard	n	567	0.92
17024	macro	j	629	0.83
17031	confectioner	n	620	0.84
17038	universality	n	608	0.86
17045	beeper	n	584	0.89
17052	trying	j	550	0.94
17059	galvanized	j	571	0.91
17066	wimp	n	573	0.91
17073	inflection	n	566	0.92
17080	maneuvering	n	558	0.93
17087	snippet	n	552	0.94
17094	frenetic	j	555	0.93
17101	hallowed	j	547	0.95
17108	interface	v	585	0.88
17115	milling	n	570	0.90
17122	reload	v	570	0.90
17129	antecedent	n	624	0.82
17136	downgrade	v	569	0.90
17143	stumbling	n	549	0.94
17150	popularly	r	572	0.90
17157	figuratively	r	542	0.95
17164	applicability	n	629	0.81
17171	slugger	n	595	0.86
17178	grandpa	n	561	0.91
17185	half-mile	j	562	0.91
17192	mackerel	n	596	0.86
17199	forgery	n	552	0.92
17206	swipe	n	552	0.92
17213	picky	j	556	0.92
17220	scrimmage	n	595	0.85
17227	trove	n	552	0.92
17234	peculiarity	n	562	0.90
17241	liquidate	v	555	0.91
17248	whiz	n	547	0.93
17255	monsoon	n	567	0.89
17262	mammoth	n	566	0.89
17269	bottomless	j	549	0.92
17276	lick	n	556	0.91
17283	crossfire	n	624	0.81
17290	scouting	n	572	0.88
17297	aft	r	587	0.86
17304	skitter	v	594	0.85
17311	tearful	j	542	0.93
17318	well-intentioned	j	541	0.93
17325	inverse	j	602	0.83
17332	quartz	n	560	0.90
17339	released	j	542	0.92
17346	downstream	j	568	0.88
17353	woodpecker	n	595	0.84
17360	intergovernmental	j	595	0.84
17367	televise	v	563	0.89
17374	cuff	v	569	0.88
17381	truckload	n	541	0.92
17388	sand	v	570	0.87
17395	pop-up	n	570	0.87
17402	break-in	n	543	0.92
17409	eloquence	n	536	0.93
17416	geyser	n	571	0.87
17423	vegetative	j	602	0.82
17430	amber	n	563	0.88
17437	intifada	n	670	0.74
17444	underdeveloped	j	554	0.89
17451	grazing	n	582	0.85
17458	glut	n	546	0.90
17465	sheaf	n	563	0.87
17472	boob	n	554	0.89
17479	disengagement	n	579	0.85
17486	headmaster	n	624	0.79
17493	earmark	n	652	0.75
17500	mercifully	r	538	0.91
17507	re-enactment	n	526	0.93
17514	micron	n	573	0.85
17521	flowered	j	573	0.85
17528	posse	n	544	0.90
17535	lackluster	j	541	0.90
17542	silhouette	v	557	0.88
17549	East-West	j	573	0.85
17556	legume	n	570	0.86
17563	fibrous	j	585	0.83
17570	succulent	j	533	0.91
17577	resettle	v	525	0.93
17584	scented	j	543	0.89
17591	moat	n	545	0.89
17598	longitude	n	557	0.87
17605	depositor	n	625	0.78
17612	classically	r	516	0.94
17619	lefty	n	587	0.82
17626	pesky	j	521	0.93
17633	progeny	n	537	0.90
17640	next-door	j	520	0.93
17647	interminable	j	530	0.91
17654	communique	n	578	0.83
17661	meth	n	644	0.75
17668	bouncing	j	525	0.92
17675	merciless	j	521	0.92
17682	deregulate	v	535	0.90
17689	pita	n	562	0.85
17696	rote	n	535	0.90
17703	collapsing	j	513	0.93
17710	retake	v	514	0.93
17717	substandard	j	520	0.92
17724	khakis	n	533	0.90
17731	venison	n	548	0.87
17738	institutionalization	n	589	0.81
17745	feta	n	589	0.81
17752	banter	n	524	0.91
17759	impel	v	526	0.90
17766	malt	n	539	0.88
17773	snowshoe	n	596	0.80
17780	anathema	n	515	0.92
17787	prohibited	j	528	0.90
17794	halibut	n	536	0.88
17801	coy	j	511	0.93
17808	red-hot	j	513	0.92
17815	garish	j	519	0.91
17822	drowsy	j	527	0.90
17829	absolve	v	503	0.94
17836	uterine	j	560	0.84
17843	co-host	n	554	0.85
17850	gawk	v	532	0.88
17857	gallant	j	519	0.91
17864	snowboard	n	558	0.84
17871	pursuer	n	537	0.87
17878	dynamism	n	534	0.88
17885	actuator	n	638	0.73
17892	first-generation	j	551	0.85
17899	checkered	j	501	0.93
17906	shuffle	n	511	0.91
17913	low-wage	j	535	0.87
17920	inaccuracy	n	504	0.92
17927	ancillary	j	521	0.89
17934	spraying	n	520	0.90
17941	reverend	j	544	0.86
17948	firecracker	n	513	0.91
17955	surly	j	507	0.92
17962	gregarious	j	502	0.92
17969	theorem	n	583	0.80
17976	slain	j	506	0.92
17983	vilify	v	496	0.93
17990	computer-based	j	560	0.83
17997	fortitude	n	495	0.93
18004	distal	j	597	0.77
18011	forty-four	m	499	0.92
18018	all-day	j	511	0.90
18025	counterfeit	j	522	0.88
18032	empathetic	j	512	0.90
18039	fruity	j	515	0.89
18046	corset	n	512	0.90
18053	memorialize	v	506	0.91
18060	centuries-old	j	494	0.93
18067	readable	j	495	0.93
18074	mystic	j	492	0.93
18081	untenable	j	496	0.92
18088	congregational	j	518	0.88
18095	exhortation	n	509	0.90
18102	adaptability	n	531	0.86
18109	capricious	j	497	0.92
18116	sameness	n	523	0.87
18123	peacemaker	n	501	0.91
18130	space-time	j	522	0.87
18137	stampede	n	494	0.92
18144	medium-low	j	561	0.81
18151	brainwash	v	509	0.89
18158	unproductive	j	499	0.91
18165	miscalculation	n	490	0.93
18172	incendiary	j	486	0.93
18179	hearsay	n	497	0.91
18186	luminary	n	493	0.92
18193	reassign	v	485	0.93
18200	ineffectual	j	481	0.94
18207	ten-year	j	509	0.89
18214	exclusionary	j	525	0.86
18221	solicitor	n	505	0.89
18228	monopolize	v	502	0.90
18235	pancreas	n	527	0.85
18242	racketeering	n	509	0.88
18249	fell	v	483	0.93
18256	offshoot	n	482	0.93
18263	matched	j	520	0.86
18270	insensitivity	n	488	0.92
18277	lance	n	505	0.88
18284	chieftain	n	494	0.90
18291	enchant	v	489	0.91
18298	snack	v	512	0.87
18305	steelhead	n	580	0.77
18312	regrettable	j	471	0.94
18319	microchip	n	497	0.89
18326	grand	n	484	0.92
18333	orb	n	500	0.89
18340	Aryan	j	503	0.88
18347	crow	v	495	0.89
18354	snipe	v	475	0.93
18361	finisher	n	506	0.87
18368	reclusive	j	476	0.93
18375	shove	n	502	0.88
18382	self-pity	n	485	0.91
18389	conclusively	r	476	0.92
18396	hideaway	n	490	0.90
18403	transformer	n	486	0.90
18410	landlady	n	524	0.84
18417	blemish	n	479	0.92
18424	multimillionaire	n	488	0.90
18431	implode	v	467	0.94
18438	acquiescence	n	493	0.89
18445	indecision	n	470	0.93
18452	reinvigorate	v	470	0.93
18459	spending	j	489	0.89
18466	thirty-nine	m	474	0.92
18473	esteemed	j	466	0.94
18480	cantaloupe	n	479	0.91
18487	uninformed	j	470	0.93
18494	demented	j	473	0.92
18501	to-do	n	502	0.87
18508	cannibal	n	547	0.79
18515	unchanging	j	489	0.89
18522	screener	n	562	0.77
18529	macro	n	615	0.70
18536	dotted	j	465	0.93
18543	distinctively	r	491	0.88
18550	inexorable	j	469	0.92
18557	single-minded	j	461	0.94
18564	breech	n	492	0.88
18571	homily	n	500	0.86
18578	habitually	r	468	0.92
18585	chipped	j	489	0.88
18592	outreach	v	491	0.88
18599	counterbalance	v	484	0.89
18606	forerunner	n	468	0.92
18613	underfunded	j	471	0.91
18620	foolishly	r	469	0.91
18627	cul-de-sac	n	471	0.91
18634	prepaid	j	487	0.88
18641	lynch	v	465	0.92
18648	air-conditioning	n	480	0.89
18655	cauldron	n	505	0.85
