四六级,主词,衍生词,COCA衍生词
四,diligent,diligence,
六,dilute,dilution,
四,dim,,
四,dime,,
四,dimension,dimensional,
六,diminish,,
四,dine,diner,dining
四,dinner,,
六,dinosaur,,
四,dioxide,,
四,dip,,
四,diploma,,
四,diplomat,diplomatic;diplomacy,
四,direct,direction;director,directly(COCA/初中);indirect
六,directory,,
四,dirt,dirty,
四,disable,disabled;disability,
四,disagree,disagreement,
四,disappear,disappearance,
四,disappoint,disappointment;disappointing,disappointed(高考)
四,disapprove,disapproval,
六,disarm,disarmament,
四,disaster,disastrous,
四,discard,,
六,discern,,
四,discharge,,
四,discipline,disciplined;disciplinary,
六,disclose,disclosure,
四,disco,,
六,discord,,
四,discount,,
四,discourage,,
六,discourse,,
四,discover,discovery,
六,discreet,,
六,discrepancy,,
四,discriminate,discrimination;discriminatory,
四,discuss,discussion,
四,disease,,
四,disguise,,
四,disgust,disgusting,
四,dish,,
四,disk/disc,,
四,dislike,,
六,dismantle,,
六,dismay,,
四,dismiss,dismissal,
四,disorder,,
四,dispatch/despatch,,
六,dispense,,
六,disperse,,
六,displace,displacement,
四,display,,
四,dispose,disposal,
六,disposition,,
四,dispute,disputable,
六,disregard,,
四,disrupt,disruptive;disruption,
六,dissent,,
六,dissertation,,
六,dissident,,
四,dissolve,,
四,distance,distant,
六,distil(l),,
四,distinct,distinction;distinctive,
四,distinguish,distinguishable,distinguished
六,distort,distortion,
四,distract,distraction,
四,distress,distressful,
四,distribute,distribution;distributive,
四,district,,
四,disturb,disturbance,disturbing(高考)
四,ditch,,
四,dive,,
四,diverse,diversify;diversity,
六,divert,diversion,
四,divide,division;divisive,
六,dividend,,
六,divine,,
四,divorce,,
四,dizzy,,
四,do,does;did;done,don't;doesn't;didn't
四,dock,,
四,doctor/Dr,doctorate;doctoral,
六,doctrine,,
四,document,documentary,documentation
六,dodge,,
四,dog,,
六,dogma,,
六,dole,,
四,doll,,
四,dollar,,
四,dolphin,,
六,domain,,
六,dome,,
四,domestic,,
四,dominate,domination;dominance;dominant,
四,donate,donation;donor,
四,donkey,,
四,doom,,
四,door,doorway,
四,dormitory/dorm,,
四,dose,dosage,
四,dot,,
四,double,,
四,doubt,doubtful;doubtless,
六,dough,,
四,dove,,
四,down,,
六,downgrade,,
四,download,,
四,downstairs,,
四,downtown,,
四,downward,downwards,
六,doze,,
四,dozen,,
四,draft,,
四,drag,,
四,dragon,,
四,drain,drainage,
四,drama,dramatic;dramatically,
四,drastic,drastically,
四,draw,drawing,
六,drawback,,
四,drawer,,
六,dread,dreadful,
四,dream,dreamy,
四,dress,,
六,dressing,,
四,drift,,
四,drill,,
四,drink,,drinking
四,drip,,
四,drive,driver,driving
四,drop,,
四,dropout,,
四,drought,,
四,drown,,
四,drug,,
四,drum,,
四,drunk,drunken;drunkard,
四,dry,dryer,dried
四,dual,,
六,dub,,
六,dubious,,
四,duck,,
四,due,duly,
四,dull,,
四,dumb,,
四,dump,,
六,duplicate,duplication,
四,durable,durability,
四,duration,,
四,during,,
四,dusk,,
四,dust,dusty,
四,duty,,
六,dwarf,,
六,dwell,dweller;dwelling,
四,dye,,
四,dynamic,dynamics,
四,dynasty,,
四,each,,
四,eager,,
四,eagle,,
四,ear,,
四,early,,
四,earn,earnings,
四,earnest,,
四,earth,,
四,earthquake,,
四,ease,,
四,east,eastern,
六,Easter,,
四,easy,easily,
四,easy-going,,
四,eat,,eating
六,eccentric,,
四,echo,,
六,eclipse,,
四,ecology,ecological,
四,economics,economist,
四,economy,economic;economical,economically
六,ecosystem,,
四,edge,,
六,edible,,
四,edit,editor;edition,
四,editorial,,
四,educate,education;educational;educator,educated
四,effect,effective,effectively;effectiveness
四,efficient,efficiency,coefficient;efficacy;efficiently
四,effort,,
四,egg,,
四,eggplant,,
六,ego,egoism;egoist,
四,eight,,
四,eighteen,,eighteenth(高考)
四,eighth,,
四,eighty,,eightieth(高考)
四,either,,
六,eject,ejection,
六,elaborate,elaboration,
六,elapse,,
六,elastic,elasticity,
四,elbow,,
四,elder,elderly,
四,elect,election;elective,elected;re-election
六,electoral,electorate,
四,electricity,electric(al);electrician,
四,electron,electronic;electronically;electronics,
四,elegant,elegance,
四,element,,
四,elementary,,
四,elephant,,
四,elevate,elevation;elevator,
四,eleven,,eleventh(高考)
六,elicit,,
六,eligible,eligibility,
四,eliminate,elimination,
四,elite,,
六,eloquent,eloquence,
四,else,,
四,elsewhere,,
四,email/e-mail,,e-mail
六,emancipate,emancipation,
六,embargo,,
六,embark,,
四,embarrass,embarrassment,embarrassed;embarrassing
四,embassy,,
六,embed,,
六,embody,embodiment,
四,embrace,,
六,embroidery,,
四,emerge,emergence,emerging
四,emergency,,
六,emigrate,emigration;emigrant,
六,eminent,eminence,
四,emit,emission,
四,emotion,emotional,emotionally
四,emperor,empress,
四,emphasis,emphasize/-ise;emphatic,
四,empire,,
六,empirical,,
四,employ,employment;employer;employee,
四,empty,emptiness,
六,emulate,emulation,
四,enable,,
六,enact,enactment,
六,enclose,enclosure,
四,encounter,,
四,encourage,encouragement;encouraging,
六,encyclop(a)edia,,
四,end,ending;endless,
四,endanger,,endangered
六,endeavo(u)r,,
六,endorse,endorsement,
六,endow,endowment,
四,endure,endurance,enduring
四,enemy,,
四,energy,energetic;energetically,
四,enforce,enforcement,
四,engage,engagement,
四,engine,,
四,engineer,engineering,
四,enhance,enhancement,
四,enjoy,enjoyable;enjoyment,
四,enlarge,,
四,enlighten,enlightenment;enlightening,
六,enlist,,
四,enormous,,
四,enough,,
四,enrich,,
四,enroll,enrollment,
六,ensue,,
四,ensure,,
六,entail,,
四,enter,entrance;entry,
四,enterprise,enterprising,
四,entertain,entertainment;entertaining,
四,enthusiasm,enthusiastic;enthusiastically;enthusiast,
四,entire,entirety,entirely(COCA/高中)
四,entitle,,
六,entity,,
四,entrepreneur,entrepreneurial,
六,entrust,,
六,envelop,,
四,envelope,,
四,environment,environmental;environmentalist,environmentally
六,envisage,,
六,envoy,,
四,envy,envious,
六,epic,,
六,epidemic,,
四,episode,,
六,epoch,,
四,equal,equally;equality,
六,equate,equation,
六,equator,,
四,equip,equipment,
六,equity,equitable,
四,equivalent,equivalence,
四,era,,
六,eradicate,eradication,
四,erase,eraser,
六,erect,erection,
六,erode,erosion;erosive,
四,err,error;erroneous,
六,errand,,
六,erupt,eruption,
六,escalate,escalation;escalator,
四,escape,,
六,escort,,
四,especially,,
四,essay,essayist,
四,essence,essential,essentially
四,establish,establishment,established
四,estate,,
六,esteem,,self-esteem
四,estimate,estimation;underestimate(四),estimated
四,eternal,eternity,
四,ethic,ethics,ethical
四,ethnic,,ethnicity
六,etiquette,,
四,euro,,
六,evacuate,evacuation,
六,evade,evasive;evasion,
四,evaluate,evaluation,
六,evaporate,evaporation,
四,eve,,
四,even,evenly,
四,evening,,
四,event,eventful;eventually;eventual;eventuality,
四,ever,,
四,every,,
四,everybody,,
四,everyday,,
四,everyone,,
四,everything,,
四,everywhere,,
四,evident,evidence,evidently
四,evil,,
六,evoke,,
四,evolve,evolution;evolutionary,
四,exact,,exactly(COCA/初中)
四,exaggerate,exaggeration,
四,examine,exam(ination);examiner;examinee,examination
四,example,exemplary;exemplify,
四,exceed,exceedingly,
四,excel,,
四,excellent,excellence,
四,except,,
四,exception,exceptional,
六,excerpt,,
四,excess,excessive,
四,exchange,,
四,excite,exciting;excitement,excited
四,exclaim,exclamation;exclamatory,
四,exclude,exclusion;exclusive,exclusively
四,excursion,,
四,excuse,,
四,execute,execution;executive,
六,exempt,exemption,
四,exercise,,
四,exert,exertion,
四,exhaust,exhaustion;exhaustive,
四,exhibit,exhibition,
四,exile,,
四,exist,existence;existent;existing,coexist(六);coexistence(六)
四,exit,,
六,exotic,,
四,expand,expansion;expansive,expanding;expanded
四,expect,expectation;expectancy,unexpected(研);expected
六,expedition,,
四,expel,,
四,expend,expenditure,
四,expense,expensive,inexpensive
四,experience,experienced,
四,experiment,experimental,
四,expert,,
四,expertise,,
六,expire,expiration,
四,explain,explanation;explanatory,
四,explicit,,explicitly
四,explode,explosion;explosive,
四,exploit,exploitation,
四,explore,exploration,
六,exponent,,
四,export,exportation,
四,expose,exposure,
六,exposition,,
四,express,expression;expressive,
四,expressway,,
六,exquisite,,
四,extend,extension;extensive;extended,
四,extent,,
四,exterior,,
四,external,,
六,extinct,extinction,
四,extinguish,,
四,extra,,
六,extract,extraction,
四,extraordinary,,
六,extravagant,extravagance,
四,extreme,extremity,extremely(COCA/高中)
四,eye,,
四,eyebrow,,
四,eyesight,,
四,fable,,
四,fabric,,
六,fabricate,fabrication,
六,fabulous,,
四,face,facial,
六,facet,,
四,facility,facilitate;facilitation,
四,fact,factual,
六,faction,,
四,factor,,
四,factory,,
四,faculty,,
四,fade,,
四,fail,failure,failed
四,faint,,
四,fair,fairly,unfair(高考);fairness
四,fairy,,fell
四,faith,faithful,
四,fake,,
四,fall,,
四,false/,falsehood,
四,fame,famous,
四,familiar,familiarity;familiarize/-ise,unfamiliar
四,family,,
四,famine,,
四,fan,,
四,fancy,,
四,fantasy,fantastic,
四,far,,
四,fare,,
四,farewell,,
四,farm,farmer;farming,
四,farther,,
四,fascinate,fascinating;fascination,
六,fascist,fascism,
四,fashion,fashionable,
四,fast,,faster;fastest
四,fasten,,
四,fat,,
四,fatal,fatality,
四,fate,,
四,father,fatherly,
四,fatigue,,
四,fault,faulty,
四,favo(u)r,favo(u)rable;favo(u)rite,
四,fax,,
四,fear,fearful,
四,feasible,feasibility,
六,feast,,
六,feat,,
四,feather,,
四,feature,,
四,February,,
四,federal,,
四,federation,,
四,fee,,
六,feeble,,
四,feed,,
四,feedback,,
四,feel,feeling,felt
四,fellow,fellowship,
四,female,,
六,feminine,feminism;feminist,
四,fence,,
四,ferry,,
四,fertile,fertility;fertilizer/-iser,
四,festival,,
四,fetch,,
四,fever,feverish,
四,few,,fewer
四,fiber/-bre,,
四,fiction,fictional,
四,field,,
四,fierce,,
四,fifteen,,fifteenth(高考)
四,fifth,,
四,fifty,,fiftieth(高考)
四,fight,,fighter;fighting
四,figure,figurative,
四,file,,
四,fill,filling,
四,film,,
四,filter,,
四,final,finally;finalize/-ise,
四,finance,financial,financially;financing
四,find,finding,
四,fine,,finely
四,finger,,
四,fingerprint,,
四,finish,,finished
六,finite,,
四,fire,,firing
四,fireman,,firefighter
四,fireplace,,
四,fireworks,,
四,firm,,firmly
四,first,firstly,
六,fiscal,,
四,fish,fishing;fisherman,fishery
四,fist,,
四,fit,,unfit(高考);fitting(研);fitness
四,five,,
四,fix,fixed;fixture;fixation,
四,flag,,
四,flame,,
六,flank,,
六,flap,,
六,flare,,
四,flash,,
四,flat,,
六,flatter,flattery,
四,flavo(u)r,,
四,flaw,flawless,flawed
四,flee,,
四,fleet,,
四,flesh,,
四,flexible,flexibility,
六,fling,,
六,flip,,
六,flirt,flirtation,
四,float,,
四,flock,,
四,flood,,
四,floor,,
四,flour,,
四,flourish,,
四,flow,,
四,flower,,
四,fluctuate,fluctuation,
四,fluent,fluency,
四,fluid,,
六,flush,,
六,flutter,,
四,fly,flight,flying
六,foam,,
四,focus,,
六,foe,,
四,fog,foggy,
六,foil,,
四,fold,,
四,folk,,
六,folklore,,
四,follow,following,follower;follow-up
四,fond,,
四,food,,
四,fool,foolish,
四,foot/feet,,footage
四,football,,
四,footprint,,
四,for,,
四,forbid,,
四,force,forceful,forced
四,forecast,,
四,forehead,,
四,foreign,foreigner,
四,foremost,,
四,foresee,foreseeable,
四,foresight,,
四,forest,forestry,
六,foretell,,
四,forever,,
六,forfeit,,
四,forge,forgery,
四,forget,forgetful;forgettable,
四,forgive,forgiving,
四,fork,,
四,form,formation,
四,formal,formality,formally
四,format,,
四,former,,formerly
六,formidable,,
四,formula,,
四,formulate,formulation,
六,fort,,
四,forth,,
四,forthcoming,,
六,fortify,fortification,
六,fortnight,,
四,fortune,fortunate,unfortunate(高考);unfortunately(研);fortunately
四,forty,,fortieth(高考)
四,forum,,
四,forward,,
四,fossil,,
六,foster,,
六,foul,,
四,found,founding;founder,
四,foundation,,
四,fountain,,
四,four,,fourth(高考)
四,fourteen,,fourteenth(高考)
四,fox,,
四,fraction,,
六,fracture,,
六,fragile,fragility,
四,fragment,fragmentation;fragmentary,
六,fragrant,fragrance,
四,frame,,
四,framework,,
六,franchise,,
四,frank,,frankly
六,frantic,frantically,
六,fraud,fraudulent,
四,free,freedom,freely
四,freeway,,
四,freeze,,freezing(高考);frozen
四,freight,,
四,frequent,frequency,frequently(COCA/高中)
四,fresh,,freshly
四,freshman,,
六,friction,,
四,Friday,,
四,friend,friendly;friendship,girlfriend;boyfriend
四,fright,frighten,frightening;frightened
六,fringe,,
四,frog,,
四,from,,
四,front,,
四,frontier,,
四,frost,frosty,
六,frown,,
四,fruit,fruitful,
四,frustrate,frustration;frustrating,frustrated
四,fry,,fried
四,fuck,,fucking
四,fuel,,
四,fulfil(l),fulfil(l)ment,fulfill
四,full,,fully(COCA/初中)
四,fun,funny,
四,function,functional,
四,fund,funding;refund(六),fund-raising
四,fundamental,,fundamentally
四,funeral,,
四,fur,,
四,furnace,,
四,furnish,,furnished(高考)
四,furniture,,
四,further,,
四,furthermore,,
六,fury,furious,
六,fuse,,
六,fusion,,
四,fuss,,
六,futile,futility,
四,future,,
四,gadget,gadgetry,
四,gain,,
六,galaxy,,
四,gallery,,
四,gallon,,
四,gamble,,gambling
四,game,,
四,gang,gangster,
四,gaol,,
四,gap,,
四,garage,,
四,garbage,,
四,garden,gardener;gardening,
六,garlic,,
四,garment,,
四,gas,,
四,gasoline/petrol,,
六,gasp,,
四,gate,,
四,gather,gathering,
六,gauge,,
四,gay,,
四,gaze,,
四,gear,,
四,gender,,
四,gene,genetic;genetically,
四,general,generally;generalize/-ise,generic
四,generate,generator,
四,generation,,
四,generous,generosity,
四,genius,,
六,genre,,
四,gentle,,gently(研)
四,gentleman,,
四,genuine,,genuinely
四,geography,geographic;geographically,geographical
四,geology,geological;geologically,
四,geometry,geometric;geometrically,
四,germ,,
四,gesture,,
四,get,,got
四,ghost,,
四,giant,gigantic,
四,gift,gifted,
六,giggle,,
四,girl,,
四,give,,gave
四,given,,
六,glacier,,
四,glad,,
六,glamo(u)r,glamo(u)rous,
四,glance,,
六,gland,,
六,glare,,
四,glass,,
六,gleam,,
六,glide,glider,
四,glimpse,,
六,glitter,,
四,globe,global;globalize/-ise,globalization
四,gloom,gloomy,
四,glory,glorious,
六,glossary,,
四,glove,,
四,glow,,
四,glue,,
四,go,gone,went
四,goal,,
四,goat,,
四,God,god,goddess
四,gold,golden,
四,golf,,golfer
四,good,,
四,goodby(e)/bye,,goodbye
四,goodness,,
四,goods,,
四,goose,,
六,gorge,,
四,gorgeous,,
六,gospel,,
四,gossip,,
四,govern,government;governor,governmental;governance
四,gown,,
四,grab,,
四,grace,graceful;gracious,disgrace(研)
四,grade,,
四,gradual,gradually,
四,graduate,graduation,
四,grain,,
四,grammar,grammatical,
四,gram(me),,
四,grand,,
四,grandchild,grandchildren;grandson;granddaughter,
四,grandparent,grandfather/grandpa;grandmother/grandma/granny,grandparents(高考)
四,grant,granted,
四,grape,,
四,graph,graphic;graphically,
四,grasp,,
四,grass,grassy,
四,grateful,,
四,gratitude,,
四,grave,,
四,gravitation,,
四,gravity,,
四,gray/grey,,
六,graze,,
六,grease,greasy,
四,great,,greatest(COCA/初中);greatly(COCA/高中)
六,greed,greedy,
四,green,,
四,greenhouse,,
四,greet,greeting,
六,grid,,
四,grief,grieve;grievous,
六,grill,,
六,grim,,
四,grin,,
四,grind,,
四,grip,,
六,groan,,
四,grocer,grocery,
六,groove,,
六,grope,,
四,gross,,
四,ground,,
四,group,,
四,grow,growth,grew;grown-up(研);growing(COCA/初中);grower
四,guarantee,,
四,guard,guardian,
四,guess,,
四,guest,,
四,guide,guidance,guiding
四,guideline,,
四,guilt,guilty,
四,guitar,guitarist,
四,gulf,,
四,gum,,
四,gun,,
四,gut,,
四,guy,,
四,gymnasium/gym,,gymnastics(高考)
四,habit,habitual,
四,habitat,,
四,hack,hacker,
四,hail,,
四,hair,hairy,
四,half,,
四,halfway,,
四,hall,,
四,halt,,
四,ham,,
四,hamburger/burger,,
四,hammer,,
六,hamper,,
四,hand,handful,
四,handbook,,
四,handicap,handicapped,
六,handicraft,,
四,handle,,handling
四,handsome,,
四,handwriting,,
四,handy,,
四,hang,,
四,happen,,happening
四,happy,happiness;happily,unhappy
六,harass,harassment,
四,harbo(u)r,,
四,hard,harden,
四,hardly,,
四,hardship,,
四,hardware,,
六,hardy,,
四,harm,harmful;harmless,
四,harmony,harmonious,
四,harness,,
四,harsh,,
四,harvest,,
四,haste,hasty;hasten,
四,hat,,
四,hatch,,
四,hate,hatred;hateful,
四,haul,,
四,haunt,,
四,have,has;had,
六,haven,,
六,havoc,,
六,hawk,,
四,hay,,
四,hazard,hazardous,
四,haze,hazy,
四,he,,
四,head,,
四,headache,,
四,heading,,
四,headline,,
四,headmaster,headmistress,
四,headquarters,,
四,heal,,healing
四,health,healthy;healthful,
四,heap,,
四,hear,hearing,heard
四,heart,hearty,
四,heartfelt,,
四,heat,heated;heating,
六,heave,,
四,heaven,,
四,heavy,,heavily
四,hectare,,
六,hectic,,
四,hedge,,
四,heel,,
四,height,heighten,
四,heir,heiress,
四,helicopter,,
四,hell,,
四,hello,,
六,helmet,,
四,help,helpful;helpless;helplessly,
六,hemisphere,,
四,hen,,
四,hence,,
六,henceforth,,
四,her,,
六,herald,,
六,herb,herbal,
四,herd,,
四,here,,
四,hereby,,
四,heritage,,
四,hero,heroine;heroic;heroism,
六,heroin,,
四,hers,,
四,herself,,
四,hesitate,hesitation;hesitant,
四,hi/hey,,hey
六,hibernate,hibernation,
四,hide,hiding,hidden
六,hierarchy,hierarchical,
四,high,highly,
四,highlight,,
四,high-tech,,
四,highway,,
四,hijack,,
六,hike,,
四,hill,hilly,
四,him,,
四,himself,,
四,hinder,hindrance,
六,hinge,,
四,hint,,
四,hip,,
四,hire,,
四,his,,
四,history,historic;historical;historian,historically
四,hit,,hitter
六,hitherto,,
六,hive,,
四,hobby,,
六,hockey,,
六,hoist,,
四,hold,,holder(研);holding;held
四,hole,,
四,holiday,,
四,hollow,,
四,holy,holiness,
四,home,homeless;homely,homeowner
四,homeland,,
四,homework,,
六,homogeneous,,
四,homosexual/homo,,homosexuality
四,honest,honesty,honestly
四,honey,,
四,honeymoon,,
四,hono(u)r,hono(u)rable;hono(u)rary,
四,hook,,
六,hop,,
四,hope,hopeful;hopeless,hopefully
四,horizon,horizontal,
四,horn,,
四,horror,horrible;horrify,
四,horse,,
四,horsepower,,
六,hose,,
四,hospitable,hospitality,
四,hospital,hospitalize,
四,host,hostess,
六,hostage,,
四,hostile,hostility,
四,hot,,
四,hotdog,,
四,hotel,,
六,hound,,
四,hour,hourly,
四,house,housing,
四,household,,
四,housewife,,
四,housework,,
六,hover,,
四,how,,
四,however,,
六,howl,,
六,huddle,,
四,hug,,
四,huge,,
六,hum,,
四,human,humanity,
六,humane,humanism;humanist;humanitarian,
四,humble,humbly,
六,humid,humidity,
六,humiliate,humiliation,
四,humo(u)r,humo(u)rous,
四,hundred,,hundredth(高考)
四,hunger,hungry,
四,hunt,hunting;hunter,
六,hurdle,,
六,hurl,,
六,hurricane,,
四,hurry,hurriedly,
四,hurt,hurtful,
四,husband,,
四,hut,,
六,hybrid,,
四,hydrogen,,
六,hygiene,hygienic,
四,hyphen,,
六,hypocrisy,hypocritical;hypocrite,
六,hypothesis,hypothetical,
六,hysterical,hysteria,
四,I,,
四,ice,icy,
六,iceberg,,
四,ice-cream,,
六,icon,,
四,idea,,
四,ideal,idealistic;idealism,
四,identify,identification,unidentified
四,identity,identical,
六,ideology,ideological,
四,idiom,idiomatic,
六,idiot,idiotic,
四,idle,idly,
六,idol,,
四,if,,
六,ignite,ignition,
四,ignorant,ignorance,
四,ignore,,
四,ill,illness,
六,illicit,,
六,illiterate,illiteracy,
六,illuminate,illumination,
四,illusion,illusory,
四,illustrate,illustration;illustrative,
四,image,imaging,imagery
四,imagine,imagination;imaginative;imaginary,
四,imitate,imitation;imitative,
四,immediate,immediately,
四,immense,immensely;immensity,
六,immerse,immersion,
四,immigrate,immigration;immigrant,
六,imminent,,
四,immune,immunity;immunize/-ise,
四,impact,,
六,impair,,impairment
六,impart,,
四,impatient,impatience,
六,imperative,,
四,imperial,imperialism;imperialist,
六,impetus,,
四,implement,implementation,
四,implicit,,
四,imply,implication,
四,import,importation,
四,important,importance,importantly
四,impose,imposition;imposing,
四,impossible,impossibility,
四,impress,impression;impressive,
六,imprison,imprisonment,
六,impromptu,,
四,improve,improvement,improved;improving
四,impulse,impulsive,
四,in,,
六,inaugurate,inauguration,
六,inborn,,
四,incentive,,
四,inch,,
四,incidence,,
四,incident,incidental;incidentally,
四,incline,inclined;inclination,
四,include,inclusion;inclusive;including,
四,income,,incoming
六,incorporate,incorporation,
四,increase,increasingly,increased;increasing
四,incredible,incredibly,
六,incumbent,,
六,incur,,
六,indebted,,
四,indeed,,
四,index,,
四,indicate,indication;indicative;indicator,
六,indict,indictment,
四,indifferent,indifference,
六,indigenous,,
六,indignant,indignation,
四,indispensable,,
四,individual,individualism,individually
四,indoor,indoors,
四,induce,inducement,
六,indulge,indulgence;indulgent,
四,industry,industrial;industrialize/-ise;industrious,
六,inertia,,
四,inevitable,,inevitably
四,infant,,
四,infect,infection;infectious,
四,infer,inference,
四,inferior,inferiority,
四,infinite,infinity;infinitive,
四,inflate,inflation,
六,inflict,infliction,
四,influence,influential,
四,flu/influenza,,
四,inform,information;informative;informant,informal
四,infrastructure,,
六,infringe,infringement,
六,ingenious,ingenuity,
四,ingredient,,
四,inhabit,inhabitant,
六,inherent,,
四,inherit,inheritance,
六,inhibit,inhibition,
四,initial,initially,
四,initiate,initiation;initiative,
六,inject,injection,
四,injure,injury;injurious,injured
四,ink,,
四,inland,,
六,inmate,,
四,inn,,
四,inner,,
四,innocent,innocence,
四,innovate,innovation;innovative,
四,input,,
四,inquire/enquire,inquiry/enquiry;inquisitive,
四,insane,insanity,
四,insect,,
四,insert,insertion,
四,inside,insider,
四,insight,insightful,
四,insist,insistence;insistent,
四,inspect,inspection;inspector,
四,inspire,inspiration;inspirational,
四,install,installation;installment,
四,instance,,
四,instant,instantaneous,instantly
四,instead,,
四,instinct,instinctive,
四,institute,,
四,institution,institutional,
四,instruct,instruction;instructor;instructive,instructional
四,instrument,instrumental,
六,insulate,insulation;insulator,
四,insult,,
四,insure/ensure,insurance,insurer
四,intact,,
四,intake,,
四,intangible,,
六,integral,,
四,integrate,integration;disintegrate(四);disintegration(四),integrated
四,integrity,,
六,intellect,,
四,intellectual,,
四,intelligent,intelligence,
六,intelligible,,
四,intend,intention;intent;intentional,
四,intense,intensity;intensify,
四,intensive,,
四,interact,interaction;interactive,
六,intercourse,,
四,interest,interesting;interested,interestingly
四,interfere,interference,
六,interim,,
四,interior,,
四,intermediate,intermediary,
六,intermittent,,
四,internal,,
四,Internet/internet,,
四,interpret,interpretation;interpreter,
六,interrogate,interrogation,
四,interrupt,interruption,
四,interval,,
六,intervene,intervention,
四,interview,interviewer;interviewee,
四,intimate,intimacy,
六,intimidate,intimidation,
四,into,,
六,intricate,intricacy,
六,intrigue,,intriguing
六,intrinsic,intrinsically,
四,introduce,introduction;introductory,
四,intrude,intrusion;intruder,
六,intuition,intuitive,
四,invade,invasion;invader;invasive,
六,invalid,,
四,invaluable,,
四,invariably,,
四,invent,invention;inventor,
六,inventory,,
六,invert,inversion,
四,invest,investment;investor,
四,investigate,investigation;investigator,investigative
四,invisible,,
四,invite,invitation;inviting,
四,involve,involvement;involved,
四,inward,,
四,iron,,
四,irony,ironic(al);ironically,
六,irrespective,,
四,irrigate,irrigation,
六,irritate,irritation;irritating;irritable,
四,island,,
六,isle,,
四,isolate,isolation,isolated
四,issue,,
四,it,,
四,item,,
四,its,,
四,itself,,
六,ivory,,
六,jack,,
四,jacket,,
四,jail/gaol,,
四,jam,,
四,January,,
四,jar,,
六,jargon,,
四,jaw,,
四,jazz,,
四,jealous,jealousy,
四,jeans,,
四,jeep,,
六,jelly,,
六,jeopardize/-ise,jeopardy,
六,jerk,,
四,jet,,
四,jetlag,,
四,jewel,jewelry/jewel(l)ery,
四,job,,
六,jockey,,
四,jog,,
四,join,,
四,joint,,
四,joke,,
六,jolly,,
四,journal,,
四,journalism,journalist,
四,journey,,
四,joy,joyous;joyful,
四,judge,judg(e)ment,
六,judicial,,
六,judiciary,,
四,juice,juicy,
四,July,,
四,jump,,
六,junction,,
四,June,,
四,jungle,,
四,junior,,
四,junk,,
六,jurisdiction,,
四,jury,juror,
四,just,,
四,justice,,injustice
四,justify,justification,
六,juvenile,,
四,keen,,
四,keep,,kept
四,kettle,,
四,key,,
四,keyboard,,
四,kick,,
四,kid,,
六,kidnap,,
六,kidney,,
四,kill,,killer;killing
四,kilogram(me)/kilo,,
四,kilometer/-tre,,
四,kin,,
四,kind,kindness,
四,kindergarten,,
四,king,,
四,kingdom,,
四,kiss,,
四,kit,,
四,kitchen,,
四,kite,,
四,knee,,
四,kneel,,
四,knife,,
六,knight,,
四,knit,,
六,knob,,
四,knock,,
四,knot,knotty,
四,know,knowledge;knowledgeable,unknown;known;knew
四,knowhow,,
四,label,,
四,laboratory/lab,,lab
四,labo(u)r,laborious,
四,lace,,
四,lack,,
六,lad,,
四,ladder,,
四,lady,,
四,lag,,
四,lake,,
四,lamb,,
四,lame,,
四,lamp,,
四,land,landing,
四,landlord,landlady,
六,landmark,,
四,landscape,,
四,lane,,
四,language,,
四,lap,,
四,laptop,,
四,large,largely,
四,laser,,
六,lash,,
四,lass,,
四,last,lastly,lasting
四,late,later,
四,lately,,
六,latitude,,
四,latter,,
四,laugh,laughter,
四,launch,,
四,laundry,,
四,lavatory,,
六,lavish,,
四,law,lawful,lawmaker
四,lawn,,
六,lawsuit,,
四,lawyer,,
四,lay,,
四,layer,,
六,layman,,
四,layoff,,
四,layout,,
四,lazy,laziness,
四,lead,leader;leadership;leading,led
四,leaf,,
六,leaflet,,
四,league,,
四,leak,,
四,lean,,
四,leap,,
四,learn,learned;learning;learner,
四,lease,,
四,least,,
四,leather,,
四,leave,,
四,lecture,lecturer,
四,left,leftist,
四,leg,,
六,legacy,,
四,legal,legalize/-ise;illegal(四),legally;illegally
四,legend,legendary,
四,legislate,legislation;legislative;legislator,legislature
六,legitimate,legitimacy,
四,leisure,leisurely,
四,lemon,lemonade,
四,lend,,lender
六,lenient,leniency,
四,lens,,
六,lesbian,,
四,less,,lesser
四,lesson,,
四,lest,,
四,let,,
四,letter,,
四,level,,
六,lever,leverage,
六,levy,,
四,liable,liability,reliability
四,liberal,,
四,liberate,liberation,
四,liberty,,
四,library,librarian,
四,license/-ce,,
四,lick,,
四,lid,,
四,lie,liar,
六,lieutenant,,
四,life,,
四,lift,,
四,light,lighting,lightly
四,lightning,,
四,like,likely;likelihood,unlike(高考);unlikely(研)
四,likewise,,
四,lily,,
四,limb,,
六,lime,,
六,limelight,,
四,limit,limitation;limited,unlimited
六,limp,,
四,line,linear,
六,linen,,
六,liner,,
六,linger,,
六,linguistic,linguistics,
四,link,linkage,
四,lion,lioness,
四,lip,,
六,lipstick,,
四,liquid,,
四,liquor,,
四,list,,listing
四,listen,listener,
四,liter/-tre,,
四,literal,literally,
四,literary,literature;literate;literacy,
四,litter,,
四,little,,
四,live,living,
四,livelihood,,
四,lively,,
四,liver,,
六,livestock,,
四,living-room,,
四,load,,
四,loaf,,
四,loan,,
四,lobby,lobbyist,
四,local,locality,locally
四,locate,location,
四,lock,locker,
六,locomotive,,
四,lodge,lodging,
六,lofty,,
四,log,,
四,logic,logical,
六,logistics,logistic(al),
