高中,bin
高考,bingo
高考,biochemistry
高考,biography
高中,biology
小学,bird
高中,birth
小学,birthday
高考,birthplace
小学,biscuit
高中,bishop
初中,bit
初中,bite
初中,bitter
小学,black
高考,blackboard
初中,blame
初中,blank
高中,blanket
高中,bleed
高中,bless
初中,blind
初中,block
初中,blood
高中,blossom
高中,blouse
小学,blow
小学,blue
初中,board
高中,boast
小学,boat
小学,bobby
小学,body
初中,boil
高中,bold
初中,bomb
高考,bond
小学,bone
高中,bonus
小学,book
高中,booklet
高中,boom
初中,boot
高考,booth
初中,border
初中,bore
高考,bored
高考,boring
高考,born
小学,borrow
初中,boss
高考,botanical
高考,botany
小学,both
初中,bother
小学,bottle
初中,bottom
高中,bounce
高中,bound
高中,boundary
高中,bow
高中,bowel(s)
小学,bowl
高考,bowling
小学,box
高中,boxing
小学,boy
高考,boycott
初中,brain
高考,brake
初中,branch
高中,brand
高中,brass
小学,brave
高考,bravery
小学,bread
小学,break
小学,breakfast
高考,breakthrough
高中,breast
初中,breath
高中,breathe
高考,breathless
高中,breed
高中,breeze
高考,brewery
初中,brick
高中,bride
高中,bridegroom
高中,bridesmaid
高中,bridesman
初中,bridge
初中,brief
高中,brigade
小学,bright
初中,brilliant
初中,bring
初中,broad
初中,broadcast
高考,brochure
高考,broken
高考,broom
小学,brother
小学,brown
高考,brunch
小学,brush
高中,bubble
高中,bucket
高考,Buddhism
初中,budget
高考,buffet
高中,bug
初中,build
高中,building
高中,bulb
高中,bull
高中,bullet
高中,bump
高中,bunch
高考,bungalow
高中,burden
高中,bureau
高考,bureaucratic
高考,burglar
初中,burn
初中,burst
高中,bury
小学,bus
高中,bush
初中,business
高考,businessman/woman
小学,busy
小学,but
高中,butcher
小学,butter
小学,butterfly
初中,button
小学,buy
小学,by
高考,cab
初中,cabbage
高中,cabin
高中,cabinet
初中,cable
高中,cafe
高考,cafeteria
高中,cage
小学,cake
初中,calculate
高中,calculator
高中,calendar
小学,call
初中,calm
高中,camel
小学,camera
初中,camp
初中,campaign
小学,can
高中,canal
初中,cancel
高中,cancer
初中,candidate
小学,candle
高中,candy
高中,cane
高中,canteen
小学,cap
初中,capable
初中,capacity
初中,capital
高考,capsule
初中,captain
高考,caption
初中,capture
小学,car
高考,carbon
小学,card
高中,care
初中,career
初中,careful
高考,careless
高中,cargo
高考,carpenter
初中,carpet
高中,carriage
高考,carrier
高中,carrot
初中,carry
高中,cart
初中,cartoon
高中,carve
初中,case
初中,cash
高中,cassette
初中,cast
初中,castle
初中,casual
高中,casualty
小学,cat
高中,catalog(ue)
高考,catastrophe
小学,catch
高中,category
高考,cater
高考,Catholic
高中,cattle
初中,cause
高中,caution
高考,cautious
初中,cave
高中,cease
初中,ceiling
初中,celebrate
高考,celebration
初中,cell
初中,cent
初中,center/-tre
高考,centigrade
高中,centimeter/-tre
高中,central
初中,century
初中,ceremony
初中,certain
高中,certainty
高中,certificate
初中,chain
小学,chair
高中,chairman/woman
高中,chairperson
小学,chalk
初中,challenge
高考,challenging
高中,chamber
高中,champion
初中,championship
初中,chance
初中,change
高考,changeable
小学,channel
高考,chant
高考,chaos
初中,chapter
初中,character
高中,characteristic
初中,charge
初中,charity
高中,charm
初中,chart
初中,chase
高中,chat
小学,cheap
高中,cheat
初中,check/cheque
高中,checklist
初中,cheek
初中,cheer
高考,cheerful
高考,cheers
初中,cheese
高考,chef
初中,chemical
高中,chemist
初中,chemistry
高中,chess
初中,chest
高考,chew
小学,chicken
初中,chief
小学,child
高中,childhood
高中,chin
小学,chip
小学,chocolate
初中,choice
高考,choir
高考,choke
初中,choose
高中,chopstick(s)
高考,chorus
高中,Christian
小学,Christmas
初中,church
高中,cigar
初中,cigarette/cigaret
小学,cinema
小学,circle
初中,circuit
高中,circular
高考,circulate
初中,circumstance
高考,circus
初中,citizen
小学,city
高中,civil
高考,civilian
高中,civilization
初中,claim
高中,clap
高考,clarify
小学,class
高中,classic
初中,classical
高考,classify
高中,classmate
高中,classroom
高中,clause
高考,claw
高中,clay
小学,clean
高考,cleaner
初中,clear
高中,clerk
小学,clever
高中,click
初中,client
初中,climate
小学,climb
高中,clinic
小学,clock
高中,clone
小学,close
高中,closet
高中,cloth
小学,clothes
高中,clothing
小学,cloud
小学,cloudy
初中,club
高中,clue
高中,clumsy
初中,coach
初中,coal
初中,coast
小学,coat
高中,cock
高考,cocoa
初中,code
小学,coffee
初中,coin
高考,coincidence
高中,coke
小学,cold
初中,collapse
高中,collar
初中,colleague
初中,collect
高考,collection
初中,college
高考,collision
小学,colo(u)r
初中,column
高中,comb
初中,combine
小学,come
高中,comedy
高中,comfort
初中,comfortable
高中,comic
初中,command
初中,comment
高中,commerce
初中,commercial
初中,commission
初中,commit
高考,commitment
初中,committee
初中,common
初中,communicate
高考,communication
高考,communism
高考,communist
初中,community
高中,companion
初中,company
初中,compare
高中,comparison
高中,compass
高考,compensate
高中,compete
高考,competence
初中,competition
高中,competitive
初中,complain
高中,complaint
初中,complete
初中,complex
初中,complicated
初中,component
高中,compose
初中,composition
高中,compound
高考,comprehension
高中,comprehensive
高考,compromise
高中,compulsory
小学,computer
高中,conceal
初中,concentrate
高中,concept
初中,concern
初中,concert
高中,conclude
初中,conclusion
初中,concrete
高中,condemn
初中,condition
初中,conduct
高考,conductor
初中,conference
高中,confess
高中,confidence
初中,confident
高考,confidential
初中,confirm
初中,conflict
初中,confuse
高中,congratulate
初中,congratulation
高中,congress
初中,connect
高考,connection
高考,conscience
初中,conscious
高考,consensus
初中,consequence
高考,conservation
高考,conservative
初中,consider
高考,considerate
高考,consideration
初中,consist
高考,consistent
初中,constant
高考,constitution
初中,construct
高中,construction
初中,consult
高中,consultant
高考,consume
初中,consumer
初中,contact
初中,contain
高考,container
高中,contemporary
高中,contempt
初中,content
初中,contest
高中,context
初中,continent
初中,continue
高中,continuous
初中,contract
高考,contradict
高考,contradictory
高中,contrary
初中,contrast
初中,contribute
高中,contribution
初中,control
高考,controversial
高考,convenience
初中,convenient
初中,convention
高考,conventional
初中,conversation
初中,convert
高考,convey
初中,convince
小学,cook
高考,cooker
高中,cookery
高考,cookie
小学,cool
高中,cooperate
高中,cope
高中,copper
小学,copy
高中,cord
小学,corn
初中,corner
高中,corporation
小学,correct
高考,correction
高考,correspond
高中,correspondent
高中,corridor
高考,corrupt
初中,cosmetic(s)
高中,cosmic
初中,cost
初中,cottage
初中,cotton
高中,couch
初中,cough
高考,could
初中,council
小学,count
初中,counter
初中,country
高中,countryside
初中,county
初中,couple
初中,courage
初中,course
初中,court
高考,courtyard
小学,cousin
初中,cover
小学,cow
高考,cozy/-sy
初中,crack
初中,craft
初中,crash
高中,crawl
高考,crayon
初中,crazy
初中,cream
初中,create
高中,creative
初中,creature
初中,credit
初中,crew
高中,cricket
初中,crime
高中,criminal
高中,cripple
初中,crisis
高考,criterion
高中,critical
初中,criticize
初中,crop
小学,cross
高考,crossing
高考,crossroads
初中,crowd
高中,crown
高中,crucial
初中,cruel
小学,cry
高中,crystal
高考,cube
高考,cubic
高考,cuisine
高中,cultivate
初中,culture
小学,cup
初中,cupboard
初中,cure
高中,curiosity
初中,curious
高中,curl
初中,currency
初中,current
高中,curriculum
初中,curtain
高中,curve
初中,cushion
高中,custom
初中,customer
高考,customs
小学,cut
高中,cute
初中,cycle
高考,cyclist
小学,dad(dy)
初中,daily
高中,dairy
高考,dam
初中,damage
高中,damn
高中,damp
小学,dance
高中,danger
小学,dangerous
初中,dare
小学,dark
高考,darkness
高中,darling
高中,dash
初中,data
高考,database
小学,date
小学,daughter
高中,dawn
小学,day
高中,dead
高考,deadline
高中,deaf
初中,deal
小学,dear
初中,death
初中,debate
初中,debt
初中,decade
高中,deceive
小学,December/Dec.
初中,decide
高中,decision
高中,deck
初中,declare
高中,decline
高中,decode
初中,decorate
高考,decoration
高中,decrease
高中,deed
小学,deep
高中,deer
初中,defeat
初中,defend
高考,defense/-ce
高中,define
初中,definite
高中,deforestation
初中,degree
初中,delay
高考,delete
初中,deliberate
高考,deliberately
高中,delicate
高中,delicious
高中,delight
高考,delighted
初中,deliver
高中,delivery
初中,demand
高中,democracy
初中,demonstration
高中,dense
高中,dentist
初中,deny
高中,depart
初中,department(Dept.)
初中,departure
初中,depend
高中,dependent
初中,deposit
高中,depress
初中,depth
初中,describe
高考,description
初中,desert
初中,deserve
初中,design
初中,desire
小学,desk
高中,desktop
初中,desperate
高中,despite
高考,dessert
高中,destination
初中,destroy
初中,destruction
初中,detail
初中,detective
高中,determination
高考,determine
初中,determined
初中,develop
高考,development
初中,device
高中,devote
高考,devotion
高中,diagram
高中,dial
小学,dialog(ue)
高中,diamond
高中,diary
高中,dictation
初中,dictionary
初中,die
初中,diet
高考,differ
高中,difference
小学,different
小学,difficult
高中,difficulty
小学,dig
高中,digest
高考,digital
高中,digitize
高中,dignity
高考,dilemma
高中,diligence
高中,dim
高考,dimension
高中,dine
小学,dinner
高考,dinosaur
高考,dioxide
高中,dip
高中,diploma
高中,direct
初中,direction
高考,director
高考,directory
高中,dirt
小学,dirty
高考,disability
高考,disabled
高中,disadvantage
高考,disagree
高考,disagreement
高中,disappear
初中,disappoint
高考,disappointed
初中,disaster
高中,discard
初中,discipline
高中,discount
高考,discourage
初中,discover
