#freq	word	小学	初中	高中	大学	大学教纲	新概念	四级	六级	考研	专四	专八	BEC	CATTI	IELTS	TOEFL	SAT	GRE	GMAT	MBA	TOEIC
163	call	1	1	1		1	1	1	1	1			1		1					1	1
167	told		1																		
168	ever	1	1	1		1	1	1	1	1										1	
169	always	1	1	1		1	1	1	1	1										1	
171	great		1	1		1	1	1	1	1	1			1						1	
172	home	1	1	1		1		1	1	1				1						1	
173	made		1																		
174	stop	1	1	1		1	1	1	1	1										1	
175	believe		1	1		1	1	1	1	1				1						1	
176	night	1	1	1		1	1	1	1	1				1						1	
177	love	1	1	1		1		1	1	1				1						1	
178	everything	1	1	1		1	1	1	1	1										1	
179	another		1	1		1	1	1	1	1										1	
180	kind	1	1	1		1		1	1	1				1						1	
182	place	1	1	1		1	1	1	1	1				1						1	
183	feel	1	1	1		1	1	1	1	1					1					1	
184	hear	1	1	1		1	1	1	1	1				1						1	
185	wrong	1	1	1	1	1	1	1	1	1										1	
186	new	1	1	1		1	1	1	1	1				1						1	
187	big	1	1	1		1	1	1	1	1										1	
188	bad	1	1	1		1	1	1	1	1				1						1	
189	every	1	1	1		1		1	1	1										1	
190	through	1	1	1		1	1	1	1	1										1	
191	their	1	1	1		1		1	1	1										1	
192	leave	1	1	1		1	1	1	1	1				1	1					1	
193	lot	1	1	1		1		1	1	1			1	1				1	1	1	
194	coming		1																		
195	enough	1	1	1		1	1	1	1	1										1	
196	must		1			1	1	1	1	1				1						1	
198	fine	1	1	1		1	1	1	1	1				1			1			1	
199	might	1	1	1	1	1	1	1	1	1	1			1	1					1	
201	remember	1	1	1		1	1	1	1	1										1	
202	nice	1	1	1		1	1	1	1	1				1				1		1	
203	being			1	1	1	1	1	1	1										1	
204	try	1	1	1		1	1	1	1	1										1	
205	wanted		1																		
206	name	1	1	1		1	1	1	1	1				1						1	
208	else	1	1	1		1		1	1	1										1	
210	ask	1	1	1		1	1	1	1	1				1						1	
211	left	1	1	1		1	1	1	1	1										1	
212	next	1	1	1		1	1	1	1	1				1						1	
218	care		1	1		1	1	1	1	1										1	
219	God							1	1												
220	own		1	1		1	1	1	1	1										1	
221	three	1	1	1		1		1	1	1										1	
222	old	1	1	1		1	1	1	1	1				1						1	
223	came		1																		
224	mind		1	1		1	1	1	1	1				1	1					1	
226	trying				1																
227	stay	1	1	1		1	1	1	1	1										1	
228	understand		1	1		1	1	1	1	1				1							
229	yourself		1	1		1		1	1	1										1	
230	someone	1	1	1		1	1	1	1	1										1	
232	same	1	1	1		1	1	1	1	1										1	
233	guess		1	1		1	1	1	1	1				1						1	
235	best	1	1	1		1	1	1	1	1					1					1	
236	may	1	1	1		1		1	1	1				1						1	
237	course		1	1		1	1	1	1	1										1	
238	which	1	1	1		1	1	1	1	1										1	
239	show	1	1	1		1	1	1	1	1										1	
240	guy		1		1	1				1				1	1			1			
241	today	1	1	1		1	1	1	1	1										1	
242	while		1	1		1	1	1	1	1										1	
243	seen		1																		
244	heard		1																		
245	without	1	1	1		1		1	1	1				1					1	1	
246	hold		1	1		1	1	1	1	1				1	1			1		1	
247	real		1	1		1	1	1	1	1										1	
248	use		1	1		1		1	1	1				1						1	
249	together	1	1	1		1	1	1	1	1										1	
250	whole	1	1	1		1	1	1	1	1				1						1	
251	haven					3								1	1	1		1	1		
252	saw					1		1	1	1										1	
254	once		1	1		1	1	1	1	1				1	1					1	
255	took		1																		
256	yet	1	1	1		1	1	1	1	1										1	
257	ready		1	1		1	1	1	1	1								1			
258	found		1	1		1	1	1	1	1										1	
259	idea	1	1	1		1	1	1	1	1				1						1	
260	already		1	1		1	1	1	1	1				1						1	
261	pretty	1	1	1		1	1	1	1	1	1			1						1	
262	start	1	1	1		1	1	1	1	1										1	
263	myself	1	1	1		1		1	1	1				1						1	
264	used			1		1		1	1	1										1	
265	Okay													1							
266	many	1	1	1		1	1	1	1	1										1	
268	head	1	1	1		1	1	1	1	1			1	1						1	
269	since		1	1		1	1	1	1	1										1	
271	room	1	1	1		1	1	1	1	1										1	
272	matter	1	1	1		1	1	1	1	1				1						1	
273	world	1	1	1		1	1	1	1	1				1						1	
274	friend	1	1	1		1	1	1	1	1										1	
276	girl	1	1	1		1	1	1	1	1				1						1	
277	bring	1	1	1		1	1	1	1	1					1					1	
278	most	1	1	1		1	1	1	1	1				1	1					1	
279	boy	1	1	1		1		1	1	1										1	
280	until		1	1		1	1	1	1	1				1						1	
281	hope		1	1		1	1	1	1	1				1						1	
282	both		1	1		1	1	1	1	1										1	
284	hard	1	1	1		1	1	1	1	1				1	1					1	
285	guys		1																		
286	minute	1	1	1	1	1	1	1	1	1	1			1	1	1			1	1	
287	run	1	1	1		1	1	1	1	1			1							1	
289	morning	1	1	1		1	1	1	1	1				1							
290	live		1	1		1		1	1	1				1	1				1	1	
292	move	1	1	1		1	1	1	1	1				1						1	
293	house	1	1	1		1	1	1	1	1				1		1				1	
295	few	1	1	1		1	1	1	1	1				1						1	
297	meet	1	1	1	1	1	1	1	1	1				1				1		1	
298	job	1	1	1		1	1	1	1	1			1	1						1	
299	later	1	1	1	1	1	1	1	1	1										1	
300	turn	1	1	1	1	1	1	1	1	1				1					1	1	
301	dead	1	1	1		1		1	1	1										1	
303	woman	1	1	1		1	1	1	1	1				1						1	
304	alone		1	1		1	1	1	1	1					1	1				1	
306	watch	1	1	1		1	1	1	1	1				1						1	
308	problem	1	1	1		1	1	1	1	1				1						1	
309	ago	1	1	1		1	1	1	1	1											
310	open	1	1	1		1	1	1	1	1				1						1	
311	hell				1	1	1	1	1	1	1			1	1					1	
312	saying		1	1	1	1	1													1	
313	somebody		1	1		1		1	1	1										1	
315	probably		1	1		1	1	1	1											1	
316	tonight	1	1	1		1	1	1	1	1										1	
317	second	1	1	1		1		1	1	1										1	
318	worry	1	1	1		1	1	1	1	1				1						1	
319	thinking			1		1														1	
320	kill	1	1	1		1		1	1	1				1						1	
321	everybody		1	1		1		1	1	1										1	
322	lost	1	1																		
323	end	1	1	1		1	1	1	1	1					1					1	
324	happen	1	1	1		1	1	1	1	1				1						1	
325	forget	1	1	1		1	1	1	1	1				1						1	
326	tomorrow	1	1	1		1	1	1	1	1										1	
327	money	1	1	1		1		1	1	1				1						1	
329	taking																	1			
330	such		1	1		1		1	1	1										1	
331	huh				1																
332	face	1	1	1		1	1			1					1	1				1	
333	part	1	1	1		1	1	1	1	1				1	1					1	
334	soon	1	1	1		1		1	1	1										1	
335	sit	1	1	1		1	1	1	1	1										1	
336	late	1	1	1		1	1	1	1	1				1						1	
337	under	1	1	1		1	1	1	1	1				1						1	
338	whatever		1	1		1		1	1	1				1	1					1	
339	anyone		1	1		1		1	1	1										1	
340	hand	1	1	1		1	1	1	1	1				1	1					1	
341	mother	1	1	1		1	1	1	1	1				1						1	
342	happy	1	1	1		1		1	1	1				1						1	
343	gave		1																		
344	actually	1	1	1	1		1	1	1		1					1					
346	exactly		1	1	1			1	1												
347	each	1	1	1		1		1	1	1											
351	father	1	1	1		1	1	1	1	1										1	
352	Miss		1				1							1							
353	stuff		1		1	1	1	1	1	1	1				1					1	
354	mine	1	1	1		1	1	1	1	1				1						1	
355	making				1										1						
356	least		1	1		1		1	1	1				1						1	
357	easy	1	1	1		1	1	1	1	1	1									1	
358	working				1																
359	anyway		1	1	1	1		1	1	1										1	
360	chance		1	1		1	1	1	1	1										1	
361	play	1	1	1		1	1	1	1	1				1						1	
362	family	1	1	1		1	1	1	1	1										1	
363	TRUE		1	1		1		1	1	1										1	
366	check		1	1		1	1	1	1						1	1		1	1	1	
367	door	1	1	1		1	1	1	1	1										1	
368	change	1	1	1		1	1	1	1	1										1	
369	means		1	1	1	1	1	1	1	1	1				1					1	
370	deal		1	1		1	1	1	1	1	1		1			1				1	
372	minutes																	1			
373	five	1	1	1		1		1	1	1				1						1	
374	point	1	1	1	1	1	1	1	1	1	1			1						1	
375	far	1	1	1		1	1	1	1	1				1				1		1	
376	business		1	1		1	1	1	1	1					1					1	
377	set		1	1		1	1	1	1	1					1					1	
378	close	1	1	1		1	1	1	1	1										1	
379	times						1										1		1		
381	car	1	1	1		1	1	1	1	1										1	
382	word	1	1	1	1	1	1	1	1	1				1						1	
383	son	1	1	1		1	1	1	1	1										1	
385	rest	1	1	1		1	1	1	1	1										1	
386	sir	1	1	1		1		1	1	1										1	
387	hurt	1	1	1		1	1	1	1	1				1						1	
388	everyone		1	1		1		1	1	1										1	
390	hit	1	1	1		1		1	1	1			1	1	1					1	
391	baby		1	1		1	1	1	1	1										1	
392	bit		1	1		1	1	1	1	1								1		1	
393	yours	1	1	1		1		1	1	1										1	
395	crazy		1	1	1	1	1	1	1	1						1				1	
396	week	1	1	1		1		1	1	1				1						1	
397	break		1	1	1	1	1	1	1	1	1				1					1	
399	couple		1	1		1	1	1	1	1						1				1	
400	either	1	1	1		1	1	1	1	1										1	
401	year		1	1		1	1	1	1	1										1	
403	beautiful	1	1	1		1	1	1	1	1				1						1	
404	wish		1	1		1		1	1	1				1						1	
405	almost		1	1		1		1	1	1										1	
406	cause	1	1	1		1	1	1	1	1						1				1	
407	afraid		1	1		1	1	1	1	1				1						1	
408	cut	1	1	1		1	1	1	1	1					1					1	
409	pay		1	1		1		1	1	1			1	1	1					1	
410	four	1	1	1		1		1	1	1				1				1		1	
411	stand	1	1	1	1	1	1	1	1	1					1	1				1	
412	case		1	1	1	1	1	1	1	1	1									1	
413	important		1	1		1	1	1	1	1	1									1	
415	anybody		1	1		1		1	1	1										1	
416	different	1	1	1		1	1	1	1	1										1	
418	walk		1	1	1	1	1	1	1	1				1						1	
419	telling														1			1			
420	eat	1	1	1		1	1	1	1	1										1	
421	reason		1	1		1	1	1	1	1										1	
423	inside	1	1	1		1	1	1	1	1	1			1						1	
424	wife		1	1		1	1	1	1	1				1						1	
425	trouble		1	1		1	1	1	1	1										1	
427	also	1	1	1		1		1	1	1				1						1	
428	hate	1	1	1		1	1	1	1	1				1						1	
429	read	1	1	1		1	1	1	1	1										1	
430	behind	1	1	1		1	1	1	1	1				1						1	
432	ahead		1	1		1	1	1	1	1										1	
433	pick	1	1	1	1	1		1	1	1	1		1	1	1					1	
434	side	1	1	1		1	1	1	1	1					1		1		1	1	
435	person	1	1	1		1	1	1	1	1				1						1	
436	damn				1	1		1	1	1								1			
437	half	1		1		1	1	1	1	1				1						1	
438	young	1	1	1		1	1	1	1	1										1	
439	brought		1																		
440	sleep	1	1	1		1	1	1	1	1										1	
441	funny	1	1	1		1	1	1	1	1	1									1	
442	die		1	1		1		1	1	1								1		1	
443	between	1	1	1		1	1	1	1	1										1	
444	fun		1	1		1	1	1	1	1				1						1	
445	kid		1	1	1	1		1	1	1				1						1	
446	though		1	1		1		1	1	1										1	
448	front		1	1		1	1	1	1	1				1					1	1	
449	question	1	1	1		1		1	1	1											
450	heart		1	1		1		1	1	1				1	1					1	
452	number	1	1	1		1	1	1	1	1				1					1	1	
453	line	1	1	1	1	1	1	1	1	1				1	1					1	
454	school	1	1	1		1	1	1	1	1								1	1	1	
455	against		1	1		1		1	1	1				1						1	
456	anymore	1	1		1																
458	phone	1	1	1				1	1	1				1						1	
459	welcome	1	1	1		1	1	1	1	1				1						1	
460	met		1																		
462	high	1	1	1		1	1	1	1	1				1						1	
463	outside	1	1	1		1	1	1	1	1										1	
465	sometimes	1	1	1		1	1	1	1	1										1	
466	moment		1	1		1	1	1	1	1				1				1		1	
468	fact	1	1	1		1		1	1	1										1	
470	drink	1	1	1		1	1	1	1	1										1	
472	six	1	1	1		1		1	1	1										1	
473	answer	1	1	1		1	1	1	1	1										1	
474	feeling		1	1		1	1	1	1	1	1									1	
475	hour	1	1	1		1	1	1	1	1				1						1	
476	full	1	1	1		1	1	1	1	1				1				1		1	
477	along		1	1		1	1	1	1	1											
478	glad		1	1		1		1	1	1				1						1	
479	speak		1	1		1	1	1	1	1									1	1	
480	quite	1	1	1		1		1	1	1										1	
481	buy	1	1	1		1	1	1	1	1										1	
482	able	1	1	1		1		1	1	1				1						1	
483	death		1	1		1		1	1	1										1	
484	free		1	1		1	1	1	1	1				1						1	
485	stupid		1	1		1	1	1	1	1										1	
486	running			1									1								
487	story	1	1	1		1	1	1	1	1										1	
488	lose	1	1	1		1	1	1	1	1			1	1						1	
489	send	1	1	1		1	1	1	1	1										1	
490	trust		1	1		1		1	1	1										1	
491	shot			1	1	1	1	1	1	1						1					
492	hot	1	1	1		1	1	1	1	1				1						1	
493	truth		1	1		1	1	1	1	1					1					1	
494	honey		1	1		1	1	1	1	1				1						1	
495	clear		1	1	1	1	1	1	1	1					1					1	
496	till		1	1		1	1	1	1	1										1	
497	lady	1	1	1		1	1	1	1	1				1						1	
498	water	1	1	1	1	1	1	1	1	1				1						1	
499	town	1	1	1		1	1	1	1	1										1	
500	bed	1	1	1		1	1	1	1	1										1	
501	living	1	1	1	1	1		1	1	1										1	
502	seem		1	1		1	1	1	1	1										1	
503	Mom			1																	
504	sound	1	1	1	1	1	1	1	1	1					1					1	
507	save	1	1	1		1	1	1	1	1			1			1				1	
510	serious		1	1		1	1	1	1	1						1				1	
511	touch	1	1	1		1	1	1	1	1										1	
512	bet		1	1	1	1	1	1	1	1	1			1	1					1	
513	news	1	1	1		1	1	1	1	1				1						1	
514	office	1	1	1		1	1	1	1	1				1						1	
516	body		1		1	1	1	1	1	1										1	
517	dinner	1	1	1		1	1	1	1	1										1	
518	married			1		1		1	1	1										1	
519	fire	1	1	1	1	1	1	1	1	1			1	1						1	
520	light	1	1	1	1	1	1	1	1	1				1	1					1	
521	perfect		1	1		1		1	1	1				1		1				1	
522	special	1	1	1		1		1	1	1										1	
523	hang		1	1		1	1	1	1	1				1	1					1	
524	luck		1	1		1	1	1	1	1				1						1	
525	lucky	1	1	1		1	1	1	1	1				1						1	
526	promise	1	1	1		1		1	1	1				1	1					1	
528	sick	1	1	1		1		1	1	1	1		1			1				1	
531	sense		1	1		1	1	1	1	1										1	
533	order		1	1	1	1	1	1	1	1										1	1
534	its	1	1	1		1		1	1	1										1	
535	fast	1	1	1		1	1	1	1	1	1							1		1	
536	brother	1	1	1		1	1	1	1	1										1	
537	game		1	1		1		1	1	1				1						1	
538	catch	1	1	1		1	1	1	1	1					1					1	
540	sort		1	1		1	1	1	1	1	1				1	1				1	
541	himself	1	1	1		1		1	1	1				1						1	
543	alive	1	1	1		1	1	1	1	1										1	
544	known																			1	
546	party	1	1	1	1	1	1	1	1	1				1						1	
547	drive	1	1	1		1	1	1	1	1			1							1	
549	doctor	1	1	1		1		1	1	1											
550	fight	1	1	1		1		1	1	1				1						1	
552	figure		1	1	1	1	1	1	1	1	1			1	1					1	
